N,BUSCA,Tempo de inserção (média com 30 execuções),Tempo de procura (média com 30 execuções),Tipo
1000000,10,"0,65370503333333333333","0,00000760000000000000",rand
100000,10,"0,03428976666666666666","0,00000456666666666666",rand
10000,10,"0,00244730000000000000","0,00000280000000000000",rand
1000,10,"0,00018253333333333333","0,00000246666666666666",rand
100,10,"0,00001720000000000000","0,00000140000000000000",rand
2000000,10,"1,59041276666666666666","0,00001083333333333333",rand
200000,10,"0,07924256666666666666","0,00000473333333333333",rand
3000000,10,"2,60360863333333333333","0,00001036666666666666",rand
300000,10,"0,13201576666666666666","0,00000616666666666666",rand
400000,10,"0,18211166666666666666","0,00000580000000000000",rand
500000,10,"0,23397203333333333333","0,00000726666666666666",rand
50000,10,"0,01536113333333333333","0,00000356666666666666",rand
700000,10,"0,36632503333333333333","0,00000743333333333333",rand
900000,10,"0,49596460000000000000","0,00000713333333333333",rand
100,10,"0,00003630000000000000","0,00000233333333333333",seq
1000,10,"0,00278636666666666666","0,00001653333333333333",seq
10000,10,"0,28709636666666666666","0,00013163333333333333",seq
100000,10,"30,70978163333333333333","0,00115236666666666666",seq
1000000,100,"0,62360250000000000000","0,00006813333333333333",rand
100000,100,"0,03373936666666666666","0,00003080000000000000",rand
10000,100,"0,00239200000000000000","0,00001590000000000000",rand
1000,100,"0,00017846666666666666","0,00001036666666666666",rand
100,100,"0,00001800000000000000","0,00000676666666666666",rand
2000000,100,"1,54001980000000000000","0,00009023333333333333",rand
200000,100,"0,07692223333333333333","0,00003663333333333333",rand
3000000,100,"2,51835276666666666666","0,00008893333333333333",rand
300000,100,"0,12642466666666666666","0,00004320000000000000",rand
400000,100,"0,19042296666666666666","0,00005063333333333333",rand
500000,100,"0,24811100000000000000","0,00005660000000000000",rand
50000,100,"0,01561666666666666666","0,00002503333333333333",rand
700000,100,"0,36997660000000000000","0,00005916666666666666",rand
900000,100,"0,47877650000000000000","0,00005503333333333333",rand
100,100,"0,00003633333333333333","0,00001543333333333333",seq
1000,100,"0,00280613333333333333","0,00012710000000000000",seq
10000,100,"0,28443236666666666666","0,00128866666666666666",seq
100000,100,"30,32587486666666666666","0,01286170000000000000",seq
1000000,1000,"0,56766090000000000000","0,00057283333333333333",rand
100000,1000,"0,03268280000000000000","0,00023893333333333333",rand
10000,1000,"0,00241420000000000000","0,00013896666666666666",rand
1000,1000,"0,00018210000000000000","0,00008473333333333333",rand
100,1000,"0,00001683333333333333","0,00005240000000000000",rand
2000000,1000,"1,38266413333333333333","0,00071283333333333333",rand
200000,1000,"0,07181356666666666666","0,00029276666666666666",rand
3000000,1000,"2,30761513333333333333","0,00078653333333333333",rand
300000,1000,"0,11514626666666666666","0,00034823333333333333",rand
400000,1000,"0,16145616666666666666","0,00037090000000000000",rand
500000,1000,"0,21250696666666666666","0,00039496666666666666",rand
50000,1000,"0,01503083333333333333","0,00019610000000000000",rand
700000,1000,"0,32006496666666666666","0,00044373333333333333",rand
900000,1000,"0,43151360000000000000","0,00047083333333333333",rand
100,1000,"0,00003566666666666666","0,00014663333333333333",seq
1000,1000,"0,00279913333333333333","0,00129823333333333333",seq
10000,1000,"0,27511116666666666666","0,01247743333333333333",seq
100000,1000,"28,89567400000000000000","0,12413656666666666666",seq
1000000,10000,"0,56800130000000000000","0,00569150000000000000",rand
100000,10000,"0,03284286666666666666","0,00224286666666666666",rand
10000,10000,"0,00238133333333333333","0,00129120000000000000",rand
1000,10000,"0,00017530000000000000","0,00076490000000000000",rand
100,10000,"0,00001710000000000000","0,00049760000000000000",rand
2000000,10000,"1,38088380000000000000","0,00697466666666666666",rand
200000,10000,"0,07187646666666666666","0,00265483333333333333",rand
3000000,10000,"2,28635733333333333333","0,00767073333333333333",rand
300000,10000,"0,11437893333333333333","0,00319080000000000000",rand
400000,10000,"0,16179286666666666666","0,00361216666666666666",rand
500000,10000,"0,21370076666666666666","0,00392683333333333333",rand
50000,10000,"0,01500030000000000000","0,00190323333333333333",rand
700000,10000,"0,31915763333333333333","0,00434090000000000000",rand
900000,10000,"0,43136223333333333333","0,00456046666666666666",rand
100,10000,"0,00003590000000000000","0,00143923333333333333",seq
1000,10000,"0,00278593333333333333","0,01281410000000000000",seq
10000,10000,"0,27421356666666666666","0,12543500000000000000",seq
100000,10000,"28,64771936666666666666","1,24179773333333333333",seq
