N,BUSCA,Tempo de inserção (média com 30 execuções),Tempo de procura (média com 30 execuções),Tipo
1000000,10,"0,09735250000000000000","0,01407656666666666666",rand
100000,10,"0,00944320000000000000","0,00114710000000000000",rand
10000,10,"0,00094576666666666666","0,00014876666666666666",rand
1000,10,"0,00008943333333333333","0,00001673333333333333",rand
100,10,"0,00001276666666666666","0,00000226666666666666",rand
2000000,10,"0,19215430000000000000","0,03310526666666666666",rand
200000,10,"0,01966303333333333333","0,00205846666666666666",rand
3000000,10,"0,28604740000000000000","0,03523056666666666666",rand
300000,10,"0,02895680000000000000","0,00347866666666666666",rand
400000,10,"0,03767716666666666666","0,00502863333333333333",rand
500000,10,"0,04623266666666666666","0,00664610000000000000",rand
50000,10,"0,00472510000000000000","0,00045463333333333333",rand
700000,10,"0,06563940000000000000","0,00920546666666666666",rand
900000,10,"0,08419166666666666666","0,01119103333333333333",rand
1000000,10,"0,09133243333333333333","0,01560533333333333333",seq
100000,10,"0,00879833333333333333","0,00112770000000000000",seq
10000,10,"0,00086350000000000000","0,00014663333333333333",seq
1000,10,"0,00008220000000000000","0,00001683333333333333",seq
100,10,"0,00001223333333333333","0,00000243333333333333",seq
2000000,10,"0,18842296666666666666","0,03329323333333333333",seq
200000,10,"0,01828440000000000000","0,00198766666666666666",seq
3000000,10,"0,28725166666666666666","0,04578340000000000000",seq
300000,10,"0,02830376666666666666","0,00348713333333333333",seq
400000,10,"0,03852976666666666666","0,00511656666666666666",seq
500000,10,"0,04697583333333333333","0,00678423333333333333",seq
50000,10,"0,00441616666666666666","0,00045856666666666666",seq
700000,10,"0,06353566666666666666","0,00945120000000000000",seq
900000,10,"0,08071760000000000000","0,01319403333333333333",seq
1000000,100,"0,09501190000000000000","0,14241730000000000000",rand
100000,100,"0,00909760000000000000","0,01251820000000000000",rand
10000,100,"0,00091630000000000000","0,00138800000000000000",rand
1000,100,"0,00008786666666666666","0,00012616666666666666",rand
100,100,"0,00001096666666666666","0,00001566666666666666",rand
2000000,100,"0,18857143333333333333","0,27779003333333333333",rand
200000,100,"0,01843433333333333333","0,02446600000000000000",rand
3000000,100,"0,28477803333333333333","0,38337273333333333333",rand
300000,100,"0,02818463333333333333","0,04276306666666666666",rand
400000,100,"0,03673326666666666666","0,04991946666666666666",rand
500000,100,"0,04587406666666666666","0,06791463333333333333",rand
50000,100,"0,00456190000000000000","0,00627916666666666666",rand
700000,100,"0,06434873333333333333","0,08900923333333333333",rand
900000,100,"0,08197136666666666666","0,10630133333333333333",rand
1000000,100,"0,09035450000000000000","0,14958416666666666666",seq
100000,100,"0,00939983333333333333","0,01353210000000000000",seq
10000,100,"0,00092313333333333333","0,00140173333333333333",seq
1000,100,"0,00008740000000000000","0,00013123333333333333",seq
100,100,"0,00000990000000000000","0,00001610000000000000",seq
2000000,100,"0,18619770000000000000","0,31587123333333333333",seq
200000,100,"0,01814863333333333333","0,02684883333333333333",seq
3000000,100,"0,27897216666666666666","0,41188970000000000000",seq
300000,100,"0,02745870000000000000","0,04579696666666666666",seq
400000,100,"0,03721400000000000000","0,06122586666666666666",seq
500000,100,"0,04615776666666666666","0,07693336666666666666",seq
50000,100,"0,00448040000000000000","0,00645820000000000000",seq
700000,100,"0,06490743333333333333","0,10884750000000000000",seq
900000,100,"0,08286736666666666666","0,13913023333333333333",seq
1000000,1000,"0,09668003333333333333","1,43682600000000000000",rand
